Sample	R1	R2	plate	location	name	group	genotype	sex
MB047-E12	/mnt/data/sbusi/vip/data/fastq/MB047_E12_S60_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB047_E12_S60_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	E12	MB047	VIP	KO	Female
MB048-D12	/mnt/data/sbusi/vip/data/fastq/MB048_D12_S48_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB048_D12_S48_R2_001.fastq.gz	180817_MB	D12	MB048	VPAC1	WT	Female
MB048-F1	/mnt/data/sbusi/vip/data/fastq/MB048_F1_S61_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB048_F1_S61_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	F1	MB048	VIP	KO	Female
MB049-E01	/mnt/data/sbusi/vip/data/fastq/MB049_E01_S49_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB049_E01_S49_R2_001.fastq.gz	180817_MB	E01	MB049	VPAC1	HET	Female
MB050-E02	/mnt/data/sbusi/vip/data/fastq/MB050_E02_S50_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB050_E02_S50_R2_001.fastq.gz	180817_MB	E02	MB050	VPAC1	HET	Female
MB051-E03	/mnt/data/sbusi/vip/data/fastq/MB051_E03_S51_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB051_E03_S51_R2_001.fastq.gz	180817_MB	E03	MB051	VPAC1	HET	Female
MB052-E04	/mnt/data/sbusi/vip/data/fastq/MB052_E04_S52_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB052_E04_S52_R2_001.fastq.gz	180817_MB	E04	MB052	VPAC1	HET	Female
MB053-E05	/mnt/data/sbusi/vip/data/fastq/MB053_E05_S53_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB053_E05_S53_R2_001.fastq.gz	180817_MB	E05	MB053	VPAC1	HET	Female
MB054-E06	/mnt/data/sbusi/vip/data/fastq/MB054_E06_S54_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB054_E06_S54_R2_001.fastq.gz	180817_MB	E06	MB054	VPAC1	HET	Female
MB055-E07	/mnt/data/sbusi/vip/data/fastq/MB055_E07_S55_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB055_E07_S55_R2_001.fastq.gz	180817_MB	E07	MB055	VPAC1	HET	Female
MB056-E08	/mnt/data/sbusi/vip/data/fastq/MB056_E08_S56_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB056_E08_S56_R2_001.fastq.gz	180817_MB	E08	MB056	VPAC1	HET	Female
MB057-E09	/mnt/data/sbusi/vip/data/fastq/MB057_E09_S57_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB057_E09_S57_R2_001.fastq.gz	180817_MB	E09	MB057	VPAC1	KO	Female
